millis,ldr_voltage,temp,hum,tvoc,eco2,prob0,prob1,prob2,AI_latency_us
196013,0.00,22.80,50.10,60.00,450.00,43,30,27,810
197021,0.00,22.80,50.10,60.00,450.00,43,30,27,838
198021,0.00,22.80,50.10,60.00,450.00,43,30,27,809
199029,0.00,22.80,50.10,60.00,450.00,43,30,27,838
200029,0.00,22.80,50.10,60.00,450.00,43,30,27,787
201037,0.00,22.80,50.10,60.00,450.00,43,30,27,810
202037,0.09,22.80,50.10,60.00,450.00,43,30,27,804
203044,0.00,22.80,50.00,60.00,450.00,43,30,27,822
204045,0.00,22.80,50.00,60.00,450.00,43,30,27,811
205053,0.00,22.80,50.10,60.00,450.00,43,30,27,828
206053,0.00,22.80,50.10,60.00,450.00,43,30,27,797
207060,0.00,22.80,50.00,60.00,450.00,43,30,27,824
208061,0.00,22.80,50.00,60.00,450.00,43,30,27,802
209069,0.00,22.80,50.00,60.00,450.00,43,30,27,850
210069,0.00,22.80,50.00,60.00,450.00,43,30,27,818
211077,0.00,22.80,50.00,60.00,450.00,43,30,27,843
212077,0.00,22.80,50.00,60.00,450.00,43,30,27,769
213084,0.00,22.80,50.00,60.00,450.00,43,30,27,782
214085,0.00,22.80,50.00,60.00,450.00,43,30,27,779
215092,0.00,22.80,50.00,60.00,450.00,43,30,27,818
216093,0.00,22.80,50.00,60.00,450.00,43,30,27,816
217100,0.00,22.80,50.00,60.00,450.00,43,30,27,840
218101,0.00,22.80,50.00,60.00,450.00,43,30,27,788
219108,0.00,22.80,50.00,60.00,450.00,43,30,27,822
220109,0.00,22.80,50.00,60.00,450.00,43,30,27,799
221116,0.00,22.80,50.00,60.00,450.00,43,30,27,839
222117,0.00,22.80,50.00,60.00,450.00,43,30,27,812
223124,0.00,22.80,50.00,60.00,450.00,43,30,27,840
224125,0.00,22.80,50.00,60.00,450.00,43,30,27,811
225132,0.00,22.80,50.00,60.00,450.00,43,30,27,829
226133,0.00,22.80,50.00,60.00,450.00,43,30,27,784
227141,0.00,22.80,50.10,60.00,450.00,43,30,27,835
228141,0.00,22.80,50.10,60.00,450.00,43,30,27,818
229149,0.00,22.80,50.10,60.00,450.00,43,30,27,843
230149,0.00,22.80,50.10,60.00,450.00,43,30,27,821
231157,0.00,22.80,50.10,60.00,450.00,43,30,27,843
232157,0.00,22.80,50.10,60.00,450.00,43,30,27,772
233165,0.00,22.80,50.10,60.00,450.00,43,30,27,799
234165,0.00,22.80,50.10,60.00,450.00,43,30,27,797
235173,0.00,22.80,50.10,60.00,450.00,43,30,27,818
236173,0.00,22.80,50.10,60.00,450.00,43,30,27,819
237181,0.00,22.80,50.10,60.00,450.00,43,30,27,832
238181,0.00,22.80,50.10,60.00,450.00,43,30,27,780
239188,0.00,22.80,50.00,60.00,450.00,43,30,27,799
240189,0.00,22.80,50.00,60.00,450.00,43,30,27,799
241196,0.00,22.80,50.00,60.00,450.00,43,30,27,831
242197,0.00,22.80,50.00,60.00,450.00,43,30,27,797
243204,0.00,22.80,50.00,60.00,450.00,43,30,27,835
244205,0.00,22.80,50.00,60.00,450.00,43,30,27,814
245213,0.00,22.80,50.00,60.00,450.00,43,30,27,843
246213,0.00,22.80,50.00,60.00,450.00,43,30,27,813
247220,0.00,22.80,49.90,60.00,450.00,43,30,27,840
248221,0.01,22.80,49.90,60.00,450.00,43,30,27,805
249228,0.00,22.80,49.90,60.00,450.00,43,30,27,828
250229,0.00,22.80,49.90,60.00,450.00,43,30,27,814
251236,0.00,22.80,50.00,60.00,450.00,43,30,27,801
252237,0.00,22.80,50.00,60.00,450.00,43,30,27,760
253244,0.00,22.80,50.00,60.00,450.00,43,30,27,786
254245,0.00,22.80,50.00,60.00,450.00,43,30,27,790
255253,0.01,22.80,49.90,60.00,450.00,43,30,27,843
256253,0.00,22.80,49.90,60.00,450.00,43,30,27,799
257260,0.00,22.80,50.00,60.00,450.00,43,30,27,835
258261,0.00,22.80,50.00,60.00,450.00,43,30,27,784
259268,0.00,22.80,50.00,60.00,450.00,43,30,27,814
260269,0.00,22.80,50.00,60.00,450.00,43,30,27,796
261277,0.00,22.80,50.00,60.00,450.00,43,30,27,843
262277,0.00,22.80,50.00,60.00,450.00,43,30,27,814
